iter	Accuracy	MultiClass
0	0.9621942855	1.01022425
1	0.9622420794	0.9339499639
2	0.9623002473	0.8672623442
3	0.9622854631	0.8080354195
4	0.9632015556	0.7561165861
5	0.9631287922	0.7089022883
6	0.9631386343	0.6665916617
7	0.9631379163	0.6277267391
8	0.9633529008	0.5924135815
9	0.9630851951	0.5604557331
10	0.9629390833	0.5309528378
11	0.9629923047	0.503744182
12	0.9630667108	0.4781784563
13	0.9630979918	0.4547668141
14	0.9629979268	0.4333137002
15	0.963288083	0.4130984299
16	0.9631950056	0.3945247934
17	0.9636770838	0.3769849941
18	0.9639327934	0.3606598502
19	0.9639141549	0.3454833631
20	0.9638419465	0.3314676673
21	0.9640954098	0.3181880573
22	0.9640900167	0.3060977795
23	0.9642180927	0.2945630562
24	0.9645377419	0.2834515352
25	0.9646952142	0.273086134
26	0.9648013498	0.2634394508
27	0.9648578562	0.2542864333
28	0.9648463016	0.2455598885
29	0.9648341632	0.2375015103
30	0.9648006681	0.2298761925
31	0.9648984929	0.2226950546
32	0.9649998132	0.2159303573
33	0.9650087856	0.2096019294
34	0.9649376422	0.2037805604
35	0.9649921575	0.1980751661
36	0.96497084	0.1927035402
37	0.9650176287	0.1876847563
38	0.9650445846	0.182970983
39	0.9650679031	0.1785478464
40	0.9650807419	0.1742298328
41	0.9651847601	0.1702972251
42	0.9650705817	0.1665886486
43	0.9652109637	0.1629789974
44	0.9652666634	0.1595341616
45	0.9652257713	0.1563433867
46	0.9652346307	0.153327839
47	0.9652639459	0.150552911
48	0.9652717691	0.1477367101
49	0.9652671734	0.1450967406
50	0.9653149368	0.1427066928
51	0.9652610251	0.1404076716
52	0.9652593725	0.1383546445
53	0.9652324617	0.136379446
54	0.9652645396	0.1343642341
55	0.9653070745	0.1325423813
56	0.9653526303	0.1306625155
57	0.9653550347	0.1290003286
58	0.9653442129	0.1274378874
59	0.9653729117	0.1259047364
60	0.9653885358	0.1245207841
61	0.9653543406	0.1231579377
62	0.9654364346	0.1218331085
63	0.965411738	0.1205452086
64	0.9654822486	0.1193814197
65	0.9654777882	0.1182501241
66	0.9655272782	0.1172051754
67	0.9655138454	0.1161265274
68	0.965520352	0.1152085914
69	0.9655199872	0.1142880443
70	0.9655766617	0.1134672523
71	0.9656475306	0.1125825542
72	0.9656959105	0.1118535929
73	0.9656870446	0.1110490349
74	0.9657590399	0.1103212576
75	0.9657650301	0.1096848824
76	0.9658230827	0.1091026218
77	0.9658799186	0.1085257161
78	0.9659243578	0.1080777195
79	0.9659749454	0.1076479041
80	0.9659902564	0.1070600211
81	0.966079025	0.1065897947
82	0.9661540575	0.1061942995
83	0.9661680453	0.1057650213
84	0.9661704497	0.1054054614
85	0.9661548093	0.105010575
86	0.9661535764	0.1046292475
87	0.9661744905	0.1042794418
88	0.9662002134	0.1039729355
89	0.966215344	0.1037625206
90	0.9662676744	0.1036235563
91	0.9663031928	0.1034028604
92	0.9663552551	0.103024316
93	0.9664264888	0.1028169482
94	0.9665080729	0.1025200992
95	0.966605914	0.1022258616
96	0.9665779834	0.1019655968
97	0.9666269798	0.1017350323
98	0.9667080089	0.101554191
99	0.9667008859	0.1012078887
100	0.96671011	0.1010952139
101	0.9667421427	0.1009855793
102	0.9667637798	0.1007329296
103	0.9667820215	0.1005575661
104	0.9667644414	0.1003045221
105	0.9668018543	0.09997538353
106	0.966822152	0.0998442838
107	0.9669130668	0.09957564656
108	0.9668727395	0.09940909181
109	0.9668866823	0.09931176937
110	0.9669466456	0.0991818431
111	0.9670616922	0.09896458506
112	0.9670634351	0.09878583099
113	0.9671619828	0.09858032027
114	0.9671851948	0.09841631533
115	0.9671694641	0.09834113272
116	0.9671682926	0.09815658686
117	0.9672599304	0.09807301981
118	0.9672680282	0.09801079815
119	0.9673217883	0.09785886939
120	0.9672822742	0.09770866836
121	0.9673206619	0.09755163953
122	0.9674110668	0.09744729078
123	0.9674180833	0.09736041287
124	0.9674023526	0.09732818373
125	0.9673842626	0.09721928233
126	0.9674507325	0.09715409658
127	0.9674263941	0.09704785413
128	0.9674707784	0.09696538693
129	0.967522644	0.09691370148
130	0.9675583592	0.09681052368
131	0.9675649723	0.09670080576
132	0.9675410987	0.09655028553
133	0.9675328493	0.09649122194
134	0.9675679029	0.09637602591
135	0.9675759556	0.09616497257
136	0.9676019917	0.09593568557
137	0.9676842374	0.09586158694
138	0.9677209273	0.09577556619
139	0.9677866291	0.09563790121
140	0.9677889884	0.09558253708
141	0.9677448172	0.09550395244
142	0.9677885851	0.09544495864
143	0.9677689039	0.09534919599
144	0.9677764917	0.09526318511
145	0.9678534187	0.09519900349
146	0.9679269665	0.09508293775
147	0.9680418163	0.0949793365
148	0.9680568854	0.0948369883
149	0.968152564	0.09473046671
150	0.9681595353	0.09463860055
151	0.9682190339	0.09460284071
152	0.9682673072	0.09447797255
153	0.9682912873	0.09439795446
154	0.9682890346	0.09427884077
155	0.9683369497	0.09419900007
156	0.9683369497	0.09419262119
157	0.9683642638	0.09410654388
158	0.9684097745	0.0939688296
159	0.9684308854	0.09389255484
160	0.9684708642	0.09385681973
161	0.9684640445	0.09377095836
162	0.9684640445	0.09377087721
163	0.9684757345	0.09371056068
164	0.9684780938	0.09369777316
165	0.9686151809	0.09361216162
166	0.9686106139	0.09352905456
167	0.9686140996	0.09351240404
168	0.968710243	0.09340648447
169	0.9686850299	0.09324562767
170	0.9686798014	0.09321024945
171	0.9686265512	0.09315908205
172	0.9686755927	0.09305045094
173	0.9687496505	0.09295127609
174	0.9687944382	0.09284747187
175	0.9688002831	0.09276625358
176	0.9688353368	0.09271590481
177	0.9688872024	0.09266429238
178	0.9688830551	0.09256787882
179	0.968891921	0.09245978149
180	0.9689309702	0.09235240501
181	0.9689728887	0.09230427593
182	0.9689501866	0.09227292761
183	0.9689623865	0.09219482258
184	0.9689537788	0.09212968086
185	0.9689159011	0.09210077704
186	0.9689484437	0.09199528727
187	0.969010918	0.09193675721
188	0.9690610408	0.09183239549
189	0.9690645265	0.09182875582
190	0.9690586815	0.0917885168
191	0.9691235602	0.09172972933
192	0.9690932252	0.09167470871
193	0.9691060867	0.09160143495
194	0.9690968625	0.09152928654
195	0.9691942388	0.09141347513
196	0.9691855246	0.09133599929
197	0.9692388748	0.09120666377
198	0.9692018266	0.09114964689
199	0.9692262715	0.09109231751
200	0.9692797734	0.09098799389
201	0.9692470791	0.09092505877
202	0.9692937162	0.09084752053
203	0.9693013491	0.0907871174
204	0.9693508554	0.09073298817
205	0.9694231703	0.09065570565
206	0.9694763139	0.09059294437
207	0.9694441295	0.09052628256
208	0.9694458724	0.09049298607
209	0.9694564811	0.09046550433
210	0.9695737805	0.09037195456
211	0.9696181196	0.09026373047
212	0.969632724	0.09023336684
213	0.9696577853	0.09016020587
214	0.9697259981	0.09008230567
215	0.9697061652	0.09004703778
216	0.9697353287	0.089957189
217	0.9697737615	0.08988781349
218	0.9697591572	0.08983209548
219	0.9697749944	0.08975403269
220	0.9697923615	0.08959248431
221	0.9697772923	0.08954238796
222	0.9697918515	0.08948845757
223	0.9697818593	0.08945679485
224	0.9698123008	0.08937751768
225	0.9698058394	0.08930574865
226	0.9698217217	0.08930146232
227	0.9698052229	0.08925369033
228	0.9698047581	0.08922450541
229	0.9697918966	0.08916689429
230	0.9698117295	0.08909926581
231	0.9698314558	0.08902722824
232	0.96987635	0.08896659242
233	0.9698646149	0.08891545721
234	0.9699992976	0.08885421516
235	0.9699992976	0.08885331941
236	0.970018514	0.08880826709
237	0.9700121591	0.0887547889
238	0.9700009339	0.0886615281
239	0.9700550523	0.08859558802
240	0.9701175266	0.08855691539
241	0.9701286452	0.08853270735
242	0.9701059431	0.08850304874
243	0.9701350001	0.08844081506
244	0.9702166908	0.08836547799
245	0.9702073601	0.08828649181
246	0.9702119722	0.08822547546
247	0.97023765	0.0881434711
248	0.9702661971	0.08806047626
249	0.9702673235	0.08799894424
250	0.9702954057	0.08795104043
251	0.9703222099	0.08791623356
252	0.9703651482	0.08782691005
253	0.9703970745	0.08774587557
254	0.9703661681	0.08769585768
255	0.9703843646	0.08763173099
256	0.970398459	0.08758793108
257	0.9705094649	0.08747799676
258	0.9704913749	0.087440675
259	0.970536779	0.08736330744
260	0.9705437504	0.08731207434
261	0.9705221747	0.08725855808
262	0.9705886446	0.08720759386
263	0.9705734238	0.08716422685
264	0.9706271839	0.08712028048
265	0.9706312861	0.08708909638
266	0.9706149389	0.08703931457
267	0.9706382574	0.08700180098
268	0.9707474139	0.08694643802
269	0.9707672468	0.08689593969
270	0.9708307409	0.08684769706
271	0.9708388387	0.08679226306
272	0.9709000801	0.08672483032
273	0.970906435	0.08669051303
274	0.9709681412	0.08660011097
275	0.9709582554	0.08653584493
276	0.9709465655	0.08644680531
277	0.970927859	0.0863327209
278	0.9710025783	0.08625341579
279	0.9710666889	0.08619282056
280	0.9710538275	0.08612863771
281	0.9711103889	0.08604094619
282	0.9711359602	0.08599104814
283	0.9712013037	0.08593649765
284	0.9711790664	0.08587300221
285	0.9712730022	0.08580785911
286	0.9712963207	0.08577774422
287	0.9712939614	0.0856932381
288	0.9713359864	0.08560725147
289	0.9713860026	0.08553755312
290	0.9715376489	0.08548393475
291	0.9715976573	0.08540246518
292	0.9717009237	0.08534096077
293	0.9716769436	0.08529299326
294	0.97175043	0.08524128889
295	0.9717884594	0.08518355034
296	0.9718068398	0.08507942397
297	0.9717847542	0.08502955286
298	0.9718115584	0.08498442821
299	0.9718347704	0.08491317051
300	0.9718872524	0.08483048527
301	0.9718364681	0.08476786035
302	0.971902938	0.08469613296
303	0.9719227709	0.08466395906
304	0.9719244072	0.08464567904
305	0.9719205954	0.0845754565
306	0.971943404	0.08453519593
307	0.9719608776	0.0844899385
308	0.9719585797	0.08442266668
309	0.9720006047	0.08438394432
310	0.9720758339	0.08430507025
311	0.9720739845	0.08426231086
312	0.9720874625	0.08416700952
313	0.9721089316	0.08413084119
314	0.9721736587	0.08405952149
315	0.9722018569	0.08395356947
316	0.9721791549	0.08390256224
317	0.9721978613	0.08387021564
318	0.9721506078	0.08382943465
319	0.9721813011	0.08376585951
320	0.9721760275	0.08367498474
321	0.9722366524	0.08361379003
322	0.9722850323	0.08353458467
323	0.9723002531	0.08348291291
324	0.9723866009	0.08339795755
325	0.972391213	0.08332860242
326	0.9724600422	0.08328789588
327	0.9724758795	0.08323868428
328	0.9725206671	0.08320063825
329	0.9725300429	0.08314966828
330	0.9725953865	0.08308886822
331	0.9726168556	0.08302608784
332	0.9726968035	0.0829669978
333	0.9726657454	0.08288429308
334	0.9727434405	0.08284119483
335	0.9726710805	0.08279813559
336	0.9727486691	0.08276549911
337	0.972707877	0.0826713947
338	0.9727213549	0.0826265493
339	0.9727615305	0.08257737452
340	0.9727667591	0.08251742544
341	0.9728787848	0.08246005395
342	0.9728981077	0.08241119667
343	0.9729890225	0.08234338193
344	0.9730158267	0.08229485337
345	0.9730339167	0.08224406435
346	0.9730210553	0.08221281276
347	0.9730897779	0.08217467193
348	0.9730855241	0.08211358969
349	0.9731566512	0.08207471583
350	0.9731642391	0.08202956804
351	0.9731951905	0.08195630382
352	0.9731951905	0.08192544242
353	0.9732069256	0.08188626954
354	0.9732465913	0.08185678059
355	0.9732937383	0.0818100873
356	0.9733135712	0.08174582421
357	0.9733245381	0.08170070567
358	0.9733707104	0.08166503727
359	0.9733828038	0.08162980739
360	0.9733653753	0.08158031107
361	0.9733561512	0.08153839197
362	0.9733962817	0.08149425806
363	0.9734546539	0.08144675839
364	0.9734797152	0.08137770484
365	0.9735287116	0.08129943837
366	0.9735433159	0.08125207605
367	0.9735193809	0.08119144909
368	0.9735535599	0.08113542943
369	0.9735978377	0.08108156363
370	0.9736019398	0.08105532671
371	0.9736042991	0.081024543
372	0.9736014299	0.08099102354
373	0.9736264913	0.08096642564
374	0.9736718954	0.08088731887
375	0.9737505652	0.08080606105
376	0.9737785409	0.08075821651
377	0.9738169286	0.08069097574
378	0.9738460921	0.0806559113
379	0.9738630557	0.0805916393
380	0.9739073786	0.08050065217
381	0.9739103544	0.08045433715
382	0.9739127137	0.08038144814
383	0.9739055906	0.08034349827
384	0.973936497	0.08029976884
385	0.9739896406	0.08027567728
386	0.9740397634	0.08024323556
387	0.9740275635	0.08019138322
388	0.9740129592	0.08015120467
389	0.9740117262	0.08013227398
390	0.9740252042	0.08009440159
391	0.974013979	0.08003485659
392	0.973988766	0.07997818066
393	0.9740207987	0.0799170004
394	0.9740166966	0.07986974406
395	0.9740365294	0.07981782637
396	0.9741023829	0.07977967315
397	0.9741350772	0.07973211315
398	0.9741747429	0.07968188987
399	0.9742412128	0.07963009936
400	0.9742576665	0.07957166066
401	0.9742989685	0.07951955181
402	0.9743099806	0.0794781764
403	0.9743234585	0.07940441706
404	0.9743543649	0.07938221463
405	0.9743449891	0.07936495958
406	0.974369434	0.07933223258
407	0.9744265733	0.07930727912
408	0.9744254469	0.07927516358
409	0.9744691082	0.0792418389
410	0.9744685983	0.07919710416
411	0.9745350682	0.07913864371
412	0.9745321989	0.07910290629
413	0.974583958	0.07902900852
414	0.9746305951	0.0789569067
415	0.9746386928	0.07893439315
416	0.974697065	0.07885921348
417	0.9747092649	0.07882723816
418	0.974749547	0.07874896022
419	0.9747512899	0.07871173244
420	0.9747833226	0.078660509
421	0.9747955225	0.07859782588
422	0.9747879347	0.07853528471
423	0.9747750732	0.07849442924
424	0.9748023873	0.07840760905
425	0.974823963	0.078367217
426	0.9748338036	0.0783405551
427	0.9748763385	0.07830276673
428	0.9748657298	0.07823312142
429	0.9748419014	0.07816170928
430	0.9749235921	0.0781062433
431	0.9750046663	0.07805221466
432	0.9749848334	0.07800386275
433	0.9750184797	0.07795669544
434	0.9750568674	0.07791236178
435	0.9751069901	0.07784839999
436	0.9751425086	0.07779477424
437	0.9751232922	0.07777699052
438	0.9751564964	0.07771667221
439	0.9751634678	0.07768785766
440	0.9751331779	0.07765608762
441	0.9751303087	0.07762911542
442	0.9751605986	0.07758877782
443	0.9751249285	0.0775311423
444	0.9751674634	0.07747830472
445	0.9752037499	0.07742287833
446	0.9752259421	0.07739498628
447	0.9752737055	0.07735601176
448	0.9752292147	0.07732442754
449	0.9752863088	0.07729602497
450	0.9752687287	0.07726600878
451	0.9752558673	0.07722451994
