iter	Passed	Remaining
0	337	337468
1	660	329499
2	1026	341284
3	1348	335830
4	1667	331783
5	1968	326166
6	2330	330566
7	2679	332217
8	2994	329687
9	3324	329125
10	3640	327330
11	3993	328772
12	4307	327043
13	4659	328136
14	5005	328683
15	5349	328984
16	5691	329092
17	6068	331059
18	6396	330274
19	6713	328971
20	7062	329234
21	7418	329767
22	7770	330094
23	8133	330770
24	8495	331335
25	8827	330690
26	9162	330190
27	9515	330308
28	9858	330093
29	10215	330313
30	10561	330132
31	10901	329764
32	11237	329293
33	11588	329245
34	11950	329482
35	12292	329152
36	12672	329817
37	13027	329804
38	13373	329525
39	13736	329672
40	14086	329475
41	14459	329811
42	14790	329176
43	15169	329593
44	15528	329555
45	15887	329502
46	16256	329628
47	16614	329519
48	16983	329621
49	17314	328982
50	17652	328466
51	17994	328046
52	18351	327904
53	18698	327570
54	19061	327509
55	19395	326948
56	19745	326671
57	20099	326447
58	20445	326083
59	20772	325430
60	21134	325326
61	21493	325171
62	21825	324618
63	22185	324468
64	22510	323799
65	22930	324499
66	23293	324375
67	23660	324293
68	24005	323900
69	24365	323708
70	24710	323320
71	25032	322640
72	25382	322322
73	25749	322215
74	26059	321403
75	26423	321251
76	26777	320984
77	27137	320784
78	27477	320334
79	27847	320245
80	28206	320018
81	28589	320062
82	29021	320637
83	29400	320604
84	29808	320875
85	30183	320784
86	30541	320515
87	30864	319873
88	31237	319745
89	31653	320054
90	32071	320363
91	32517	320935
92	32923	321095
93	33278	320748
94	33632	320392
95	34030	320449
96	34398	320224
97	34814	320431
98	35157	319972
99	35577	320196
100	36046	320846
101	36600	322224
102	36962	321898
103	37372	321977
104	37696	321314
105	38056	320970
106	38429	320727
107	38830	320714
108	39196	320401
109	39675	321010
110	40075	320964
111	40523	321295
112	40968	321587
113	41337	321273
114	41704	320942
115	42217	321724
116	42605	321545
117	43119	322301
118	43538	322330
119	43921	322094
120	44348	322168
121	44704	321727
122	45110	321641
123	45445	321051
124	45981	321869
125	46462	322285
126	46966	322847
127	47391	322853
128	47886	323323
129	48379	323772
130	48869	324182
131	49368	324634
132	49789	324566
133	50236	324662
134	50685	324762
135	51046	324297
136	51401	323793
137	51895	324158
138	52406	324616
139	52792	324294
140	52941	322531
141	53356	322391
142	53803	322443
143	54202	322200
144	54671	322370
145	54884	321038
146	55308	320936
147	55681	320544
148	56006	319875
149	56349	319315
150	56788	319296
151	57262	319463
152	57593	318833
153	58024	318757
154	58315	317910
155	58721	317696
156	58916	316349
157	59260	315804
158	59690	315723
159	60090	315473
160	60557	315576
161	60906	315061
162	61014	313309
163	61442	313205
164	61622	311847
165	62107	312033
166	62531	311908
167	63249	313233
168	63584	312652
169	63901	311987
170	64332	311882
171	64827	312074
172	65208	311720
173	65690	311841
174	66023	311252
175	66334	310565
176	66759	310410
177	67240	310514
178	67632	310203
179	68042	309972
180	68446	309711
181	68805	309244
182	69406	309866
183	69770	309417
184	70268	309560
185	70418	308173
186	70776	307705
187	71188	307474
188	71597	307224
189	71771	305974
